Município;Assistência_Médica;Excl._Odontológico;Total
220650 Monsenhor Hipólito;16;0;16
220660 Monte Alegre do Piauí;33;6;39
220665 Morro Cabeça no Tempo;1;0;1
220667 Morro do Chapéu do Piauí;2;1;3
220669 Murici dos Portelas;3;0;3
220670 Nazaré do Piauí;42;0;42
220672 Nazária;27;0;27
220675 Nossa Senhora de Nazaré;8;0;8
220680 Nossa Senhora dos Remédios;14;0;14
220795 Nova Santa Rita;149;9;158
220690 Novo Oriente do Piauí;24;0;24
220695 Novo Santo Antônio;3;0;3
220700 Oeiras;1019;21;1040
220710 Olho D'Água do Piauí;7;1;8
220720 Padre Marcos;38;2;40
220730 Paes Landim;34;1;35
220735 Pajeú do Piauí;7;1;8
220740 Palmeira do Piauí;15;1;16
220750 Palmeirais;55;4;59
220755 Paquetá;4;0;4
220760 Parnaguá;24;3;27
220770 Parnaíba;6988;293;7281
220775 Passagem Franca do Piauí;8;0;8
220777 Patos do Piauí;13;0;13
220780 Paulistana;315;5;320
220785 Pavussu;4;0;4
220790 Pedro II;298;10;308
220793 Pedro Laurentino;12;0;12
220800 Picos;3857;143;4000
220810 Pimenteiras;54;1;55
220820 Pio IX;102;3;105
220830 Piracuruca;288;9;297
220840 Piripiri;1539;51;1590
220850 Porto;29;4;33
220860 Prata do Piauí;14;1;15
220865 Queimada Nova;159;1;160
220870 Redenção do Gurguéia;19;2;21
220880 Regeneração;148;4;152
220885 Riacho Frio;5;0;5
220890 Ribeiro Gonçalves;58;3;61
220900 Rio Grande do Piauí;72;12;84
220910 Santa Cruz do Piauí;23;0;23
220915 Santa Cruz dos Milagres;3;15;18
220920 Santa Filomena;16;0;16
220930 Santa Luz;42;7;49
220937 Santa Rosa do Piauí;12;0;12
220935 Santana do Piauí;7;0;7
220940 Santo Antônio de Lisboa;29;0;29
220945 Santo Antônio dos Milagres;2;0;2
220950 Santo Inácio do Piauí;19;3;22
220955 São Braz do Piauí;1;0;1
220960 São Félix do Piauí;28;0;28
220965 São Francisco de Assis do Piauí;2;0;2
220970 São Francisco do Piauí;31;0;31
220975 São Gonçalo do Gurguéia;14;0;14
220980 São Gonçalo do Piauí;31;0;31
220985 São João da Canabrava;17;0;17
220987 São João da Fronteira;11;2;13
220990 São João da Serra;22;1;23
220995 São João da Varjota;2;0;2
220997 São João do Arraial;8;0;8
221000 São João do Piauí;291;6;297
221005 São José do Divino;2;1;3
221010 São José do Peixe;25;0;25
221020 São José do Piauí;22;0;22
221030 São Julião;283;8;291
221035 São Lourenço do Piauí;9;0;9
221037 São Luis do Piauí;1;1;2
221038 São Miguel da Baixa Grande;10;0;10
221040 São Miguel do Tapuio;64;2;66
221050 São Pedro do Piauí;85;4;89
221060 São Raimundo Nonato;632;10;642
221062 Sebastião Barros;2;0;2
221063 Sebastião Leal;15;0;15
221065 Sigefredo Pacheco;6;1;7
221070 Simões;70;1;71
221080 Simplício Mendes;253;2;255
221090 Socorro do Piauí;23;1;24
221093 Sussuapara;4;0;4
221100 Teresina;151336;13641;164977
221110 União;380;9;389
221120 Uruçuí;557;171;728
221130 Valença do Piauí;343;10;353
221135 Várzea Branca;3;0;3
221140 Várzea Grande;1140;11;1151
221150 Vera Mendes;3;0;3
221160 Vila Nova do Piauí;1;0;1
221170 Wall Ferraz;2;1;3
220000 Município ignorado - PI;336;235;571
230010 Abaiara;347;27;374
230015 Acarape;247;20;267
230020 Acaraú;447;50;497
230030 Acopiara;468;153;621
230040 Aiuaba;19;18;37
230050 Alcântaras;63;3;66
230060 Altaneira;25;19;44
230070 Alto Santo;145;73;218
230075 Amontada;154;124;278
230080 Antonina do Norte;30;5;35
230090 Apuiarés;36;1;37
230100 Aquiraz;3089;1836;4925
230110 Aracati;3015;1026;4041
230120 Aracoiaba;251;21;272
230125 Ararendá;38;5;43
230130 Araripe;120;33;153
230140 Aratuba;41;5;46
230150 Arneiroz;42;10;52
230160 Assaré;197;29;226
230170 Aurora;154;20;174
230180 Baixio;16;3;19
230185 Banabuiú;223;26;249
230190 Barbalha;2222;842;3064
230195 Barreira;251;22;273
230200 Barro;157;5;162
230205 Barroquinha;71;14;85
230210 Baturité;1067;108;1175
230220 Beberibe;615;147;762
230230 Bela Cruz;198;10;208
230240 Boa Viagem;508;71;579
230250 Brejo Santo;1661;72;1733
230260 Camocim;1019;103;1122
230270 Campos Sales;514;102;616
230280 Canindé;1467;199;1666
230290 Capistrano;85;14;99
230300 Caridade;84;6;90
230310 Cariré;89;17;106
230320 Caririaçu;133;121;254
230330 Cariús;77;63;140
230340 Carnaubal;78;19;97
230350 Cascavel;3511;662;4173
230360 Catarina;100;20;120
230365 Catunda;30;2;32
230370 Caucaia;18011;10308;28319
230380 Cedro;416;103;519
230390 Chaval;43;2;45
230393 Choró;34;9;43
230395 Chorozinho;196;148;344
230400 Coreaú;165;3;168
230410 Crateús;3331;997;4328
230420 Crato;10423;2618;13041
230423 Croatá;54;12;66
230425 Cruz;101;3;104
230426 Deputado Irapuan Pinheiro;19;0;19
230427 Ererê;19;6;25
230428 Eusébio;9853;1979;11832
230430 Farias Brito;126;35;161
230435 Forquilha;447;47;494
230440 Fortaleza;655241;236837;892078
230445 Fortim;230;53;283
230450 Frecheirinha;111;17;128
230460 General Sampaio;17;0;17
230465 Graça;110;15;125
230470 Granja;454;49;503
230480 Granjeiro;20;2;22
230490 Groaíras;133;24;157
230495 Guaiúba;293;65;358
230500 Guaraciaba do Norte;358;33;391
230510 Guaramiranga;41;3;44
230520 Hidrolândia;127;10;137
230523 Horizonte;2502;1454;3956
230526 Ibaretama;24;7;31
230530 Ibiapina;285;42;327
230533 Ibicuitinga;28;5;33
230535 Icapuí;254;25;279
230540 Icó;1208;398;1606
230550 Iguatu;4421;1572;5993
230560 Independência;384;38;422
230565 Ipaporanga;53;15;68
230570 Ipaumirim;106;21;127
230580 Ipu;822;62;884
230590 Ipueiras;353;56;409
230600 Iracema;137;17;154
230610 Irauçuba;95;19;114
230620 Itaiçaba;88;10;98
230625 Itaitinga;1571;946;2517
230630 Itapagé;634;94;728
230640 Itapipoca;1981;1591;3572
230650 Itapiúna;72;21;93
230655 Itarema;117;25;142
230660 Itatira;30;8;38
230670 Jaguaretama;128;6;134
230680 Jaguaribara;82;16;98
230690 Jaguaribe;701;216;917
230700 Jaguaruana;518;171;689
230710 Jardim;269;41;310
230720 Jati;91;18;109
230725 Jijoca de Jericoacoara;129;4;133
230730 Juazeiro do Norte;14554;5773;20327
230740 Jucás;157;36;193
230750 Lavras da Mangabeira;280;37;317
230760 Limoeiro do Norte;1989;795;2784
230763 Madalena;83;11;94
230765 Maracanaú;38720;11723;50443
230770 Maranguape;4025;3178;7203
230780 Marco;269;17;286
230790 Martinópole;46;3;49
230800 Massapê;368;35;403
230810 Mauriti;314;38;352
230820 Meruoca;86;15;101
230830 Milagres;562;65;627
230835 Milhã;117;8;125
230837 Miraíma;21;8;29
230840 Missão Velha;435;83;518
230850 Mombaça;450;39;489
230860 Monsenhor Tabosa;102;8;110
230870 Morada Nova;1268;281;1549
230880 Moraújo;36;7;43
230890 Morrinhos;129;40;169
230900 Mucambo;180;13;193
230910 Mulungu;51;4;55
230920 Nova Olinda;78;39;117
230930 Nova Russas;637;126;763
230940 Novo Oriente;182;44;226
230945 Ocara;79;23;102
230950 Orós;249;48;297
230960 Pacajus;5244;3089;8333
230970 Pacatuba;1549;1402;2951
230980 Pacoti;151;11;162
230990 Pacujá;61;7;68
231000 Palhano;46;18;64
231010 Palmácia;98;21;119
231020 Paracuru;1225;170;1395
231025 Paraipaba;363;49;412
231030 Parambu;155;51;206
231040 Paramoti;28;6;34
231050 Pedra Branca;189;15;204
231060 Penaforte;77;32;109
231070 Pentecoste;450;34;484
231080 Pereiro;173;25;198
231085 Pindoretama;332;172;504
231090 Piquet Carneiro;82;9;91
231095 Pires Ferreira;34;3;37
231100 Poranga;46;15;61
231110 Porteiras;150;13;163
231120 Potengi;69;15;84
231123 Potiretama;27;4;31
231126 Quiterianópolis;40;8;48
231130 Quixadá;2863;905;3768
231135 Quixelô;79;20;99
231140 Quixeramobim;1903;150;2053
231150 Quixeré;125;23;148
231160 Redenção;665;54;719
231170 Reriutaba;255;5;260
231180 Russas;1511;1256;2767
231190 Saboeiro;62;21;83
231195 Salitre;19;2;21
231220 Santa Quitéria;684;49;733
231200 Santana do Acaraú;231;5;236
231210 Santana do Cariri;103;39;142
231230 São Benedito;645;93;738
231240 São Gonçalo do Amarante;1051;865;1916
231250 São João do Jaguaribe;98;24;122
231260 São Luís do Curu;932;8;940
231270 Senador Pompeu;473;64;537
231280 Senador Sá;13;1;14
231290 Sobral;15483;2891;18374
231300 Solonópole;199;7;206
231310 Tabuleiro do Norte;719;310;1029
231320 Tamboril;130;18;148
231325 Tarrafas;19;6;25
231330 Tauá;1085;727;1812
231335 Tejuçuoca;55;8;63
231340 Tianguá;1300;459;1759
231350 Trairi;283;111;394
231355 Tururu;55;12;67
231360 Ubajara;621;249;870
231370 Umari;39;6;45
231375 Umirim;56;13;69
231380 Uruburetama;231;40;271
231390 Uruoca;67;22;89
231395 Varjota;201;30;231
231400 Várzea Alegre;489;350;839
231410 Viçosa do Ceará;373;48;421
230000 Município ignorado - CE;8172;3423;11595
240010 Acari;418;45;463
240020 Açu;3069;296;3365
240030 Afonso Bezerra;150;13;163
240040 Água Nova;8;0;8
240050 Alexandria;292;12;304
240060 Almino Afonso;44;7;51
240070 Alto do Rodrigues;4209;136;4345
240080 Angicos;457;22;479
240090 Antônio Martins;24;3;27
240100 Apodi;509;71;580
240110 Areia Branca;2106;659;2765
240120 Arês;585;18;603
240130 Augusto Severo;25;1;26
240140 Baía Formosa;119;13;132
240145 Baraúna;95;30;125
240150 Barcelona;49;3;52
240160 Bento Fernandes;148;8;156
240165 Bodó;6;3;9
240170 Bom Jesus;194;30;224
240180 Brejinho;198;25;223
240185 Caiçara do Norte;86;4;90
240190 Caiçara do Rio do Vento;31;9;40
240200 Caicó;3983;2251;6234
240210 Campo Redondo;71;28;99
240220 Canguaretama;664;36;700
240230 Caraúbas;257;69;326
240240 Carnaúba dos Dantas;112;13;125
240250 Carnaubais;274;30;304
240260 Ceará-Mirim;2840;474;3314
240270 Cerro Corá;85;15;100
240280 Coronel Ezequiel;27;2;29
240290 Coronel João Pessoa;31;4;35
240300 Cruzeta;144;32;176
240310 Currais Novos;2837;705;3542
240320 Doutor Severiano;22;9;31
240330 Encanto;24;6;30
240340 Equador;44;9;53
240350 Espírito Santo;168;46;214
240360 Extremoz;1383;385;1768
240370 Felipe Guerra;111;48;159
240375 Fernando Pedroza;62;0;62
240380 Florânia;211;16;227
240390 Francisco Dantas;21;7;28
240400 Frutuoso Gomes;49;1;50
240410 Galinhos;27;8;35
240420 Goianinha;1872;137;2009
240430 Governador Dix-Sept Rosado;98;60;158
240440 Grossos;113;25;138
240450 Guamaré;870;220;1090
240460 Ielmo Marinho;62;11;73
240470 Ipanguaçu;325;21;346
240480 Ipueira;13;10;23
240485 Itajá;89;14;103
240490 Itaú;93;37;130
240500 Jaçanã;54;2;56
240510 Jandaíra;62;4;66
240520 Janduís;38;2;40
240530 Januário Cicco;22;6;28
240540 Japi;22;0;22
240550 Jardim de Angicos;21;1;22
240560 Jardim de Piranhas;120;35;155
240570 Jardim do Seridó;366;46;412
240580 João Câmara;716;70;786
240590 João Dias;9;0;9
240600 José da Penha;35;5;40
240610 Jucurutu;173;21;194
240615 Jundiá;47;1;48
240620 Lagoa d'Anta;34;2;36
240630 Lagoa de Pedras;59;13;72
240640 Lagoa de Velhos;14;2;16
240650 Lagoa Nova;68;11;79
240660 Lagoa Salgada;98;13;111
240670 Lajes;168;8;176
240680 Lajes Pintadas;32;10;42
240690 Lucrécia;47;0;47
240700 Luís Gomes;105;8;113
240710 Macaíba;4337;530;4867
240720 Macau;2573;266;2839
240725 Major Sales;21;2;23
240730 Marcelino Vieira;93;9;102
240740 Martins;201;25;226
240750 Maxaranguape;135;24;159
240760 Messias Targino;15;2;17
240770 Montanhas;102;5;107
240780 Monte Alegre;303;47;350
240790 Monte das Gameleiras;17;2;19
240800 Mossoró;49885;11301;61186
240810 Natal;249190;67718;316908
240820 Nísia Floresta;419;64;483
240830 Nova Cruz;711;81;792
240840 Olho-d'Água do Borges;32;0;32
240850 Ouro Branco;53;28;81
240860 Paraná;58;7;65
240870 Paraú;67;4;71
240880 Parazinho;38;3;41
240890 Parelhas;401;148;549
240325 Parnamirim;33684;7708;41392
240910 Passa e Fica;42;12;54
240920 Passagem;21;1;22
240930 Patu;180;13;193
240940 Pau dos Ferros;1768;252;2020
240950 Pedra Grande;51;3;54
240960 Pedra Preta;78;0;78
240970 Pedro Avelino;129;37;166
240980 Pedro Velho;230;16;246
240990 Pendências;699;70;769
241000 Pilões;50;1;51
241010 Poço Branco;106;18;124
241020 Portalegre;91;5;96
241025 Porto do Mangue;15;2;17
241030 Presidente Juscelino;20;0;20
241040 Pureza;39;19;58
241050 Rafael Fernandes;51;7;58
241060 Rafael Godeiro;30;2;32
241070 Riacho da Cruz;46;2;48
241080 Riacho de Santana;23;1;24
241090 Riachuelo;78;21;99
240895 Rio do Fogo;58;20;78
241100 Rodolfo Fernandes;35;4;39
241110 Ruy Barbosa;23;3;26
241120 Santa Cruz;1107;143;1250
240933 Santa Maria;500;29;529
241140 Santana do Matos;243;18;261
241142 Santana do Seridó;30;0;30
241150 Santo Antônio;343;94;437
241160 São Bento do Norte;55;2;57
241170 São Bento do Trairí;15;2;17
241180 São Fernando;53;41;94
241190 São Francisco do Oeste;23;35;58
241200 São Gonçalo do Amarante;4816;804;5620
241210 São João do Sabugi;108;44;152
241220 São José de Mipibu;1343;109;1452
241230 São José do Campestre;142;6;148
241240 São José do Seridó;93;45;138
241250 São Miguel;331;44;375
241255 São Miguel do Gostoso;65;3;68
241260 São Paulo do Potengi;3605;23;3628
241270 São Pedro;109;18;127
241280 São Rafael;99;5;104
241290 São Tomé;122;19;141
241300 São Vicente;180;680;860
241310 Senador Elói de Souza;42;1;43
241320 Senador Georgino Avelino;33;0;33
241330 Serra de São Bento;59;6;65
241335 Serra do Mel;150;83;233
241340 Serra Negra do Norte;114;64;178
241350 Serrinha;48;238;286
241355 Serrinha dos Pintos;26;0;26
241360 Severiano Melo;58;7;65
241370 Sítio Novo;30;0;30
241380 Taboleiro Grande;27;4;31
241390 Taipu;122;28;150
241400 Tangará;207;31;238
241410 Tenente Ananias;117;4;121
241415 Tenente Laurentino Cruz;22;2;24
241105 Tibau;36;23;59
241420 Tibau do Sul;585;56;641
241430 Timbaúba dos Batistas;28;30;58
241440 Touros;473;61;534
241445 Triunfo Potiguar;18;2;20
241450 Umarizal;220;29;249
241460 Upanema;178;42;220
241470 Várzea;88;3;91
241475 Venha-Ver;2;0;2
241480 Vera Cruz;110;24;134
241490 Viçosa;23;7;30
241500 Vila Flor;35;1;36
240000 Município ignorado - RN;2055;987;3042
250010 Água Branca;97;13;110
250020 Aguiar;24;3;27
250030 Alagoa Grande;793;127;920
250040 Alagoa Nova;367;347;714
250050 Alagoinha;201;173;374
250053 Alcantil;10;9;19
250057 Algodão de Jandaíra;4;4;8
250060 Alhandra;317;541;858
250073 Amparo;18;10;28
250077 Aparecida;56;62;118
250080 Araçagi;100;47;147
250090 Arara;108;36;144
250100 Araruna;163;6;169
250110 Areia;1077;91;1168
250115 Areia de Baraúnas;1;0;1
250120 Areial;57;11;68
250130 Aroeiras;232;12;244
250135 Assunção;15;1;16
250140 Baía da Traição;105;51;156
250150 Bananeiras;567;128;695
250153 Baraúna;6;1;7
250160 Barra de Santa Rosa;162;5;167
250157 Barra de Santana;8;4;12
250170 Barra de São Miguel;87;1;88
250180 Bayeux;3712;3973;7685
250190 Belém;292;70;362
250200 Belém do Brejo do Cruz;23;5;28
250205 Bernardino Batista;6;1;7
250210 Boa Ventura;27;5;32
250215 Boa Vista;175;36;211
250220 Bom Jesus;26;4;30
250230 Bom Sucesso;75;0;75
250240 Bonito de Santa Fé;78;9;87
250250 Boqueirão;418;21;439
250270 Borborema;31;85;116
250280 Brejo do Cruz;168;54;222
250290 Brejo dos Santos;29;1;30
250300 Caaporã;826;1066;1892
250310 Cabaceiras;93;0;93
250320 Cabedelo;10147;6007;16154
250330 Cachoeira dos Índios;21;30;51
250340 Cacimba de Areia;25;4;29
250350 Cacimba de Dentro;51;18;69
250355 Cacimbas;7;1;8
250360 Caiçara;71;48;119
250370 Cajazeiras;2265;105;2370
250380 Caldas Brandão;129;23;152
250390 Camalaú;48;5;53
250400 Campina Grande;70101;12204;82305
251640 Campo de Santana;21;6;27
250403 Capim;11;31;42
250407 Caraúbas;32;5;37
250410 Carrapateira;5;1;6
250415 Casserengue;13;9;22
250420 Catingueira;23;0;23
250430 Catolé do Rocha;751;80;831
250435 Caturité;71;35;106
250440 Conceição;149;5;154
250450 Condado;51;14;65
250460 Conde;302;520;822
250470 Congo;33;0;33
250480 Coremas;179;2;181
250485 Coxixola;5;0;5
250490 Cruz do Espírito Santo;88;96;184
250500 Cubati;50;6;56
250510 Cuité;310;10;320
250523 Cuité de Mamanguape;24;20;44
250520 Cuitegi;68;21;89
250527 Curral de Cima;6;2;8
250530 Curral Velho;8;2;10
250535 Damião;11;4;15
250540 Desterro;36;4;40
250560 Diamante;24;0;24
250570 Dona Inês;48;20;68
250580 Duas Estradas;21;8;29
250590 Emas;17;0;17
250600 Esperança;1057;69;1126
250610 Fagundes;108;32;140
250620 Frei Martinho;30;4;34
250625 Gado Bravo;5;3;8
250630 Guarabira;2981;1143;4124
250640 Gurinhém;72;11;83
250650 Gurjão;34;3;37
250660 Ibiara;29;0;29
250260 Igaracy;29;1;30
250670 Imaculada;24;2;26
250680 Ingá;232;40;272
250690 Itabaiana;1164;67;1231
250700 Itaporanga;519;21;540
250710 Itapororoca;161;163;324
250720 Itatuba;71;55;126
250730 Jacaraú;111;51;162
250740 Jericó;722;28;750
250750 João Pessoa;170327;83154;253481
250760 Juarez Távora;62;9;71
250770 Juazeirinho;198;21;219
250780 Junco do Seridó;70;2;72
250790 Juripiranga;123;2;125
250800 Juru;50;9;59
250810 Lagoa;26;6;32
250820 Lagoa de Dentro;24;12;36
250830 Lagoa Seca;525;364;889
250840 Lastro;23;0;23
250850 Livramento;31;4;35
250855 Logradouro;12;10;22
250860 Lucena;265;341;606
250870 Mãe d'Água;17;0;17
250880 Malta;63;4;67
250890 Mamanguape;1028;297;1325
250900 Manaíra;35;3;38
250905 Marcação;14;0;14
250910 Mari;145;113;258
250915 Marizópolis;59;3;62
250920 Massaranduba;78;24;102
250930 Mataraca;214;520;734
250933 Matinhas;3;12;15
250937 Mato Grosso;9;7;16
250939 Maturéia;9;0;9
250940 Mogeiro;160;50;210
250950 Montadas;62;2;64
250960 Monte Horebe;15;1;16
250970 Monteiro;730;10;740
250980 Mulungu;41;23;64
250990 Natuba;16;3;19
251000 Nazarezinho;40;0;40
251010 Nova Floresta;108;1;109
251020 Nova Olinda;14;9;23
251030 Nova Palmeira;28;5;33
251040 Olho d'Água;29;0;29
251050 Olivedos;50;2;52
251060 Ouro Velho;27;3;30
251065 Parari;4;0;4
251070 Passagem;37;0;37
251080 Patos;4995;210;5205
251090 Paulista;4085;391;4476
251100 Pedra Branca;18;2;20
251110 Pedra Lavrada;52;3;55
251120 Pedras de Fogo;912;43;955
251272 Pedro Régis;5;3;8
251130 Piancó;262;3;265
251140 Picuí;311;9;320
251150 Pilar;87;42;129
251160 Pilões;70;12;82
251170 Pilõezinhos;29;9;38
251180 Pirpirituba;97;97;194
251190 Pitimbu;72;109;181
251200 Pocinhos;367;26;393
251203 Poço Dantas;5;1;6
251207 Poço de José de Moura;3;0;3
251210 Pombal;770;23;793
251220 Prata;29;281;310
251230 Princesa Isabel;534;18;552
251240 Puxinanã;124;85;209
251250 Queimadas;1048;373;1421
251260 Quixabá;11;1;12
251270 Remígio;448;19;467
251274 Riachão;10;9;19
251275 Riachão do Bacamarte;13;0;13
251276 Riachão do Poço;6;7;13
251278 Riacho de Santo Antônio;13;0;13
251280 Riacho dos Cavalos;22;1;23
251290 Rio Tinto;578;241;819
251300 Salgadinho;7;1;8
251310 Salgado de São Félix;101;4;105
251315 Santa Cecília;7;2;9
251320 Santa Cruz;42;3;45
251330 Santa Helena;22;1;23
251335 Santa Inês;2;28;30
251340 Santa Luzia;377;28;405
251370 Santa Rita;6303;2745;9048
251380 Santa Teresinha;29;1;30
251350 Santana de Mangueira;10;0;10
251360 Santana dos Garrotes;29;3;32
251365 Santarém;111;3;114
251385 Santo André;810;2304;3114
251392 São Bentinho;8;0;8
251390 São Bento;363;38;401
251396 São Domingos;1;0;1
251394 São Domingos do Cariri;4;1;5
251398 São Francisco;26;7;33
251400 São João do Cariri;96;9;105
250070 São João do Rio do Peixe;135;2;137
251410 São João do Tigre;5;0;5
251420 São José da Lagoa Tapada;61;1;62
251430 São José de Caiana;26;3;29
251440 São José de Espinharas;27;1;28
251450 São José de Piranhas;166;11;177
251455 São José de Princesa;2;0;2
251460 São José do Bonfim;7;1;8
251465 São José do Brejo do Cruz;2;0;2
251470 São José do Sabugi;61;8;69
251480 São José dos Cordeiros;20;1;21
251445 São José dos Ramos;7;0;7
251490 São Mamede;85;7;92
251500 São Miguel de Taipu;34;8;42
251510 São Sebastião de Lagoa de Roça;157;9;166
251520 São Sebastião do Umbuzeiro;17;6;23
251530 Sapé;826;307;1133
251540 Seridó;17;2;19
251550 Serra Branca;436;13;449
251560 Serra da Raiz;25;5;30
251570 Serra Grande;5;3;8
251580 Serra Redonda;65;14;79
251590 Serraria;51;7;58
251593 Sertãozinho;28;41;69
251597 Sobrado;19;15;34
251600 Solânea;683;102;785
251610 Soledade;387;23;410
251615 Sossêgo;2;0;2
251620 Sousa;3723;111;3834
251630 Sumé;407;8;415
251650 Taperoá;236;55;291
251660 Tavares;83;5;88
251670 Teixeira;166;2;168
251675 Tenório;7;0;7
251680 Triunfo;75;6;81
251690 Uiraúna;277;12;289
251700 Umbuzeiro;121;1;122
251710 Várzea;54;3;57
251720 Vieirópolis;7;0;7
250550 Vista Serrana;12;0;12
251740 Zabelê;6;2;8
250000 Município ignorado - PB;362;445;807
260005 Abreu e Lima;10605;3540;14145
260010 Afogados da Ingazeira;733;63;796
260020 Afrânio;334;8;342
260030 Agrestina;407;13;420
260040 Água Preta;216;24;240
260050 Águas Belas;513;43;556
260060 Alagoinha;144;15;159
260070 Aliança;338;39;377
260080 Altinho;611;9;620
260090 Amaraji;456;41;497
260100 Angelim;258;55;313
260105 Araçoiaba;101;45;146
260110 Araripina;1408;96;1504
260120 Arcoverde;4551;211;4762
260130 Barra de Guabiraba;83;9;92
260140 Barreiros;1229;111;1340
260150 Belém de Maria;62;0;62
260160 Belém de São Francisco;235;16;251
260170 Belo Jardim;3457;472;3929
260180 Betânia;39;1;40
260190 Bezerros;2424;169;2593
260200 Bodocó;299;4;303
260210 Bom Conselho;823;53;876
260220 Bom Jardim;312;24;336
260230 Bonito;881;35;916
260240 Brejão;98;19;117
260250 Brejinho;20;2;22
260260 Brejo da Madre de Deus;882;36;918
260270 Buenos Aires;41;15;56
260280 Buíque;537;14;551
260290 Cabo de Santo Agostinho;13069;6686;19755
260300 Cabrobó;598;29;627
260310 Cachoeirinha;458;17;475
260320 Caetés;110;34;144
260330 Calçado;56;9;65
260340 Calumbi;54;8;62
260345 Camaragibe;17382;3667;21049
260350 Camocim de São Félix;355;8;363
260360 Camutanga;99;3;102
260370 Canhotinho;299;29;328
260380 Capoeiras;140;15;155
260390 Carnaíba;59;5;64
260392 Carnaubeira da Penha;12;1;13
260400 Carpina;3558;384;3942
260410 Caruaru;48975;3672;52647
260415 Casinhas;38;1;39
260420 Catende;525;59;584
260430 Cedro;59;46;105
260440 Chã de Alegria;208;10;218
260450 Chã Grande;219;13;232
260460 Condado;927;13;940
260470 Correntes;155;18;173
260480 Cortês;73;9;82
260490 Cumaru;212;25;237
260500 Cupira;809;17;826
260510 Custódia;414;34;448
260515 Dormentes;300;4;304
260520 Escada;1961;400;2361
260530 Exu;313;7;320
260540 Feira Nova;157;20;177
260545 Fernando de Noronha;530;85;615
260550 Ferreiros;96;14;110
260560 Flores;114;3;117
260570 Floresta;571;28;599
260580 Frei Miguelinho;117;4;121
260590 Gameleira;232;48;280
260600 Garanhuns;13778;3647;17425
260610 Glória do Goitá;369;18;387
260620 Goiana;6311;402;6713
260630 Granito;21;1;22
260640 Gravatá;2790;208;2998
260650 Iati;34;9;43
260660 Ibimirim;205;21;226
260670 Ibirajuba;28;1;29
260680 Igarassu;6862;3704;10566
260690 Iguaraci;84;3;87
260760 Ilha de Itamaracá;817;146;963
260700 Inajá;53;2;55
260710 Ingazeira;11;3;14
260720 Ipojuca;8177;4163;12340
260730 Ipubi;157;8;165
260740 Itacuruba;27;5;32
260750 Itaíba;98;6;104
260765 Itambé;1219;52;1271
260770 Itapetim;91;2;93
260775 Itapissuma;3575;2969;6544
260780 Itaquitinga;300;3;303
260790 Jaboatão dos Guararapes;126256;23823;150079
260795 Jaqueira;74;21;95
260800 Jataúba;123;1;124
260805 Jatobá;1157;53;1210
260810 João Alfredo;316;36;352
260820 Joaquim Nabuco;144;23;167
260825 Jucati;20;11;31
260830 Jupi;86;20;106
260840 Jurema;85;14;99
260845 Lagoa do Carro;85;9;94
260850 Lagoa do Itaenga;224;50;274
260860 Lagoa do Ouro;38;13;51
260870 Lagoa dos Gatos;126;4;130
260875 Lagoa Grande;762;166;928
260880 Lajedo;1166;79;1245
260890 Limoeiro;1576;132;1708
260900 Macaparana;269;12;281
260910 Machados;57;1;58
260915 Manari;8;0;8
260920 Maraial;88;5;93
260930 Mirandiba;59;1;60
261430 Moreilândia;64;0;64
260940 Moreno;3253;538;3791
260950 Nazaré da Mata;1177;63;1240
260960 Olinda;97692;19131;116823
260970 Orobó;218;7;225
260980 Orocó;113;6;119
260990 Ouricuri;1083;118;1201
261000 Palmares;2169;433;2602
261010 Palmeirina;46;1;47
261020 Panelas;292;19;311
261030 Paranatama;59;11;70
261040 Parnamirim;1283;392;1675
261050 Passira;130;9;139
261060 Paudalho;962;139;1101
261070 Paulista;52161;11353;63514
261080 Pedra;272;7;279
261090 Pesqueira;2272;165;2437
261100 Petrolândia;614;48;662
261110 Petrolina;45798;8517;54315
261120 Poção;165;9;174
261130 Pombos;549;32;581
261140 Primavera;213;16;229
261150 Quipapá;173;12;185
261153 Quixaba;44;9;53
261160 Recife;620164;134085;754249
261170 Riacho das Almas;524;4;528
261180 Ribeirão;1166;84;1250
261190 Rio Formoso;349;93;442
261200 Sairé;215;10;225
261210 Salgadinho;28;1;29
261220 Salgueiro;2338;385;2723
261230 Saloá;55;11;66
261240 Sanharó;338;13;351
261245 Santa Cruz;131;2;133
261247 Santa Cruz da Baixa Verde;24;10;34
261250 Santa Cruz do Capibaribe;5543;95;5638
261255 Santa Filomena;12;3;15
261260 Santa Maria da Boa Vista;718;435;1153
261270 Santa Maria do Cambucá;41;7;48
261280 Santa Terezinha;119;3;122
261290 São Benedito do Sul;51;2;53
261300 São Bento do Una;975;27;1002
261310 São Caitano;1064;22;1086
261320 São João;247;52;299
261330 São Joaquim do Monte;166;6;172
261340 São José da Coroa Grande;271;24;295
261350 São José do Belmonte;395;18;413
261360 São José do Egito;498;17;515
261370 São Lourenço da Mata;5648;1694;7342
261380 São Vicente Ferrer;185;4;189
261390 Serra Talhada;3227;729;3956
261400 Serrita;83;2;85
261410 Sertânia;911;73;984
261420 Sirinhaém;513;138;651
261440 Solidão;12;0;12
261450 Surubim;1798;130;1928
261460 Tabira;193;9;202
261470 Tacaimbó;154;12;166
261480 Tacaratu;109;10;119
261485 Tamandaré;428;30;458
261500 Taquaritinga do Norte;397;14;411
