Município;Assistência_Médica;Excl._Odontológico;Total
150210 Cametá;867;83;950
150215 Canaã dos Carajás;3792;78;3870
150220 Capanema;3675;656;4331
150230 Capitão Poço;491;50;541
150240 Castanhal;10142;1380;11522
150250 Chaves;37;4;41
150260 Colares;41;8;49
150270 Conceição do Araguaia;1869;301;2170
150275 Concórdia do Pará;188;14;202
150276 Cumaru do Norte;11;0;11
150277 Curionópolis;428;22;450
150280 Curralinho;227;0;227
150285 Curuá;8;0;8
150290 Curuçá;153;23;176
150293 Dom Eliseu;1379;46;1425
150295 Eldorado dos Carajás;85;11;96
150300 Faro;35;0;35
150304 Floresta do Araguaia;151;3;154
150307 Garrafão do Norte;33;1;34
150309 Goianésia do Pará;98;9;107
150310 Gurupá;66;8;74
150320 Igarapé-Açu;394;33;427
150330 Igarapé-Miri;344;62;406
150340 Inhangapi;20;1;21
150345 Ipixuna do Pará;227;10;237
150350 Irituia;141;37;178
150360 Itaituba;1437;245;1682
150370 Itupiranga;166;38;204
150375 Jacareacanga;39;6;45
150380 Jacundá;281;44;325
150390 Juruti;278;286;564
150400 Limoeiro do Ajuru;33;4;37
150405 Mãe do Rio;412;52;464
150410 Magalhães Barata;27;3;30
150420 Marabá;24892;4480;29372
150430 Maracanã;81;27;108
150440 Marapanim;152;24;176
150442 Marituba;3715;1064;4779
150445 Medicilândia;92;0;92
150450 Melgaço;25;8;33
150460 Mocajuba;113;9;122
150470 Moju;542;62;604
150480 Monte Alegre;563;37;600
150490 Muaná;143;9;152
150495 Nova Esperança do Piriá;10;5;15
150497 Nova Ipixuna;29;31;60
150500 Nova Timboteua;118;9;127
150503 Novo Progresso;99;6;105
150506 Novo Repartimento;104;9;113
150510 Óbidos;473;36;509
150520 Oeiras do Pará;61;6;67
150530 Oriximiná;7414;147;7561
150540 Ourém;116;16;132
150543 Ourilândia do Norte;7070;35;7105
150548 Pacajá;60;13;73
150549 Palestina do Pará;39;1;40
150550 Paragominas;7873;669;8542
150553 Parauapebas;48783;2863;51646
150555 Pau D'Arco;5;0;5
150560 Peixe-Boi;45;10;55
150563 Piçarra;2;8;10
150565 Placas;4;12;16
150570 Ponta de Pedras;118;10;128
150580 Portel;188;12;200
150590 Porto de Moz;51;4;55
150600 Prainha;29;6;35
150610 Primavera;89;59;148
150611 Quatipuru;49;17;66
150613 Redenção;3789;255;4044
150616 Rio Maria;431;13;444
150618 Rondon do Pará;1036;139;1175
150619 Rurópolis;165;49;214
150620 Salinópolis;451;44;495
150630 Salvaterra;127;25;152
150635 Santa Bárbara do Pará;245;32;277
150640 Santa Cruz do Arari;23;3;26
150650 Santa Isabel do Pará;1623;366;1989
150655 Santa Luzia do Pará;55;6;61
150658 Santa Maria das Barreiras;56;10;66
150660 Santa Maria do Pará;255;28;283
150670 Santana do Araguaia;857;51;908
150680 Santarém;17025;1942;18967
150690 Santarém Novo;19;10;29
150700 Santo Antônio do Tauá;267;40;307
150710 São Caetano de Odivelas;66;4;70
150715 São Domingos do Araguaia;112;8;120
150720 São Domingos do Capim;95;13;108
150730 São Félix do Xingu;151;18;169
150740 São Francisco do Pará;115;3;118
150745 São Geraldo do Araguaia;115;26;141
150746 São João da Ponta;8;1;9
150747 São João de Pirabas;63;10;73
150750 São João do Araguaia;41;7;48
150760 São Miguel do Guamá;552;56;608
150770 São Sebastião da Boa Vista;26;0;26
150775 Sapucaia;656;1;657
150780 Senador José Porfírio;51;5;56
150790 Soure;309;71;380
150795 Tailândia;954;63;1017
150796 Terra Alta;37;2;39
150797 Terra Santa;112;23;135
150800 Tomé-Açu;1647;101;1748
150803 Tracuateua;66;5;71
150805 Trairão;11;3;14
150808 Tucumã;2066;65;2131
150810 Tucuruí;3851;1251;5102
150812 Ulianópolis;261;9;270
150815 Uruará;208;24;232
150820 Vigia;414;77;491
150830 Viseu;80;14;94
150835 Vitória do Xingu;18;0;18
150840 Xinguara;912;65;977
150000 Município ignorado - PA;4741;3514;8255
160010 Amapá;197;38;235
160020 Calçoene;37;16;53
160021 Cutias;3;0;3
160023 Ferreira Gomes;57;19;76
160025 Itaubal;5;0;5
160027 Laranjal do Jari;281;60;341
160030 Macapá;52462;14112;66574
160040 Mazagão;91;38;129
160050 Oiapoque;258;73;331
160015 Pedra Branca do Amapari;12;5;17
160053 Porto Grande;870;79;949
160055 Pracuúba;2;0;2
160060 Santana;5548;3341;8889
160005 Serra do Navio;39;65;104
160070 Tartarugalzinho;314;26;340
160080 Vitória do Jari;83;10;93
160000 Município ignorado - AP;203;158;361
170025 Abreulândia;28;4;32
170030 Aguiarnópolis;127;21;148
170035 Aliança do Tocantins;73;1;74
170040 Almas;48;10;58
170070 Alvorada;214;159;373
170100 Ananás;81;10;91
170105 Angico;46;6;52
170110 Aparecida do Rio Negro;31;4;35
170130 Aragominas;16;6;22
170190 Araguacema;46;9;55
170200 Araguaçu;116;21;137
170210 Araguaína;7454;785;8239
170215 Araguanã;8;1;9
170220 Araguatins;330;8;338
170230 Arapoema;57;14;71
170240 Arraias;250;14;264
170255 Augustinópolis;149;14;163
170270 Aurora do Tocantins;16;2;18
170290 Axixá do Tocantins;69;3;72
170300 Babaçulândia;63;6;69
170305 Bandeirantes do Tocantins;60;1;61
170307 Barra do Ouro;2;0;2
170310 Barrolândia;25;9;34
170320 Bernardo Sayão;24;7;31
170330 Bom Jesus do Tocantins;11;1;12
170360 Brasilândia do Tocantins;4;0;4
170370 Brejinho de Nazaré;23;4;27
170380 Buriti do Tocantins;39;6;45
170382 Cachoeirinha;96;86;182
170384 Campos Lindos;20;13;33
170386 Cariri do Tocantins;22;5;27
170388 Carmolândia;19;2;21
170390 Caseara;39;2;41
170410 Centenário;26;1;27
170460 Chapada de Areia;8;0;8
170550 Colinas do Tocantins;785;97;882
171670 Colméia;84;35;119
170555 Combinado;15;2;17
170560 Conceição do Tocantins;18;1;19
170600 Couto Magalhães;19;6;25
170610 Cristalândia;101;7;108
170625 Crixás do Tocantins;9;1;10
170650 Darcinópolis;24;3;27
170700 Dianópolis;620;17;637
170710 Divinópolis do Tocantins;52;8;60
170720 Dois Irmãos do Tocantins;24;2;26
170730 Dueré;68;8;76
170740 Esperantina;18;2;20
170755 Fátima;31;0;31
170765 Figueirópolis;2007;3;2010
170770 Filadélfia;58;2;60
170820 Formoso do Araguaia;554;154;708
170825 Fortaleza do Tabocão;8;9;17
170830 Goianorte;9;1;10
170900 Goiatins;44;14;58
170930 Guaraí;658;53;711
170950 Gurupi;6419;309;6728
170980 Ipueiras;1;0;1
171050 Itacajá;79;0;79
171070 Itaguatins;61;6;67
171090 Itapiratins;51;1;52
171110 Itaporã do Tocantins;11;1;12
171150 Jaú do Tocantins;30;1;31
171180 Juarina;0;1;1
171190 Lagoa da Confusão;93;8;101
171195 Lagoa do Tocantins;10;5;15
171200 Lajeado;77;4;81
171215 Lavandeira;12;0;12
171240 Lizarda;31;5;36
171245 Luzinópolis;2;5;7
171250 Marianópolis do Tocantins;17;5;22
171270 Mateiros;8;1;9
171280 Maurilândia do Tocantins;14;0;14
171320 Miracema do Tocantins;772;85;857
171330 Miranorte;225;20;245
171360 Monte do Carmo;66;10;76
171370 Monte Santo do Tocantins;12;2;14
171395 Muricilândia;3;1;4
171420 Natividade;245;75;320
171430 Nazaré;62;8;70
171488 Nova Olinda;49;3;52
171500 Nova Rosalândia;19;0;19
171510 Novo Acordo;39;15;54
171515 Novo Alegre;14;0;14
171525 Novo Jardim;15;1;16
171550 Oliveira de Fátima;3;1;4
172100 Palmas;36112;3558;39670
171570 Palmeirante;25;1;26
171380 Palmeiras do Tocantins;30;0;30
171575 Palmeirópolis;282;15;297
171610 Paraíso do Tocantins;1612;151;1763
171620 Paranã;66;23;89
171630 Pau D'Arco;19;1;20
171650 Pedro Afonso;423;46;469
171660 Peixe;146;10;156
171665 Pequizeiro;9;0;9
171700 Pindorama do Tocantins;8;4;12
171720 Piraquê;6;0;6
171750 Pium;34;4;38
171780 Ponte Alta do Bom Jesus;34;1;35
